name,url,image
DH Bangham
John T Finch
Aaron Klug,,./images/coauthorFranklin/Aaron_Klug_1979.jpg
Kenneth C Holmes,https://en.wikipedia.org/wiki/Kenneth_Holmes,
SPF Humphreys-Owen
Rosalind E Franklin,https://en.wikipedia.org/wiki/Rosalind_Franklin,./images/coauthorFranklin/Rosalind_Franklin.jpg
Raymond G Gosling,https://en.wikipedia.org/wiki/Raymond_Gosling,./images/coauthorFranklin/Raymond_Gosling.jpg
Donald LD Caspar,http://www.sb.fsu.edu/~caspar/cv.html,http://www.sb.fsu.edu/~caspar/graphics/caspar.gif
